ke,v,prob
0.08736658442020416,104.0258276462555,0.06408182428722688
0.3126239244699478,116.46775841712952,0.03996684974942032
0.07658791284561157,113.2067608833313,0.03511162344825733
0.10566180405616761,140.3564077615738,0.01960784316713551
0.9848209295272827,209.17338848114014,0.019607843149784192
0.3214192095041275,68.50012481212616,0.01960784306207528
0.04363290762901306,85.5021059513092,0.019607239994223997
0.3493796042442322,75.60926616191864,0.019607053589666242
0.3318302191734314,92.41775274276733,0.01960763940052488
0.09591740503311158,70.4040265083313,0.019606861783713535
0.3085237291574478,92.47361779212952,0.019737880136499034
0.3319534166574478,118.09373497962952,0.019632416493846994
0.06191983306407929,107.69765913486481,0.019679584689176778
0.06885235497951508,76.48277580738068,0.019704549131905422
0.104416601395607,91.46958649158478,0.019643221880209605
0.117302929520607,78.46177399158478,0.019597158101422863
0.06191983306407929,96.14004194736481,0.01955942480961445
0.013408339047431946,181.37368142604828,0.019700419290967584
0.07190197534561157,67.0202374458313,0.01951164033392134
0.3406021231412888,99.86292123794556,0.01950338570465776
0.02050767450332642,140.53142726421356,0.01953249208456758
0.28171865940093993,140.76549291610718,0.02006430234272343
0.08736658442020416,127.8441870212555,0.019943440899242014
0.28255966277122496,126.51050686836243,0.020996928663766568
0.2902425238609314,94.35134649276733,0.020487095766718078
0.3019573676109314,127.48611211776733,0.019093477240582524
0.09146677973270416,92.7318823337555,0.019440164262789807
0.044804392004013066,99.6085512638092,0.0211367052646879
0.2925854926109314,128.23318243026733,0.019132725994050234
0.28490263152122497,92.54078030586243,0.018713553193527774
0.08112040762901307,97.9386293888092,0.02131357576155309
0.09767463159561159,111.4489483833313,0.024249819858896605
0.2925854926109314,105.38161993026733,0.02210779824118773
0.03660400137901305,109.5841372013092,0.018061641256184827
0.05615650746822358,130.52043080329895,0.04619771048220038
0.09240295190811158,113.7780499458313,0.014640836715784823
0.1311608946800232,96.86838507652283,0.02217926264236146
0.3540655417442322,86.72743022441864,0.03903999661485112
0.2908282660484314,112.94021368026733,0.030335467714155278
0.08678084223270416,87.2826635837555,0.019585982707218053
0.08736658442020416,87.3266088962555,0.016924101924408037
0.05615650746822358,130.56437611579895,0.012581745624519232
0.3540655417442322,86.77137553691864,0.0002565091830184887
0.2908282660484314,112.89626836776733,0.024265939691400902
0.1311608946800232,96.82443976402283,0.017036423665353673
