"KNOT","A","B1","B2","B3","SEX","AGE","PERCENTILE","CHART"
18,13,0.217,-0.00199,5.89e-05,"M","0-36 mos",90,"wt  x age"
0,3.64,1.07,-0.0538,0.00133,"F","0-36 mos",90,"wt  x age"
6,8.38,0.564,-0.0299,0.000841,"F","0-36 mos",90,"wt  x age"
18,12.3,0.21,0.000401,-4.12e-05,"F","0-36 mos",90,"wt  x age"
0,54.4,4.52,-0.321,0.011,"M","0-36 mos",95,"length x age"
9,77.1,1.42,-0.0241,0.000258,"M","0-36 mos",95,"length x age"
24,93.8,0.87,-0.0125,0.000384,"M","0-36 mos",95,"length x age"
0,52.9,4.31,-0.297,0.0101,"F","0-36 mos",95,"length x age"
9,75,1.43,-0.0232,0.000233,"F","0-36 mos",95,"length x age"
24,92,0.888,-0.0127,0.000385,"F","0-36 mos",95,"length x age"
0,4.15,1.33,-0.0955,0.00363,"M","0-36 mos",95,"wt  x age"
6,9.46,0.574,-0.0302,0.000835,"M","0-36 mos",95,"wt  x age"
18,13.4,0.21,-0.00011,1.56e-05,"M","0-36 mos",95,"wt  x age"
0,3.81,1.18,-0.0764,0.00272,"F","0-36 mos",95,"wt  x age"
6,8.73,0.556,-0.0274,0.000752,"F","0-36 mos",95,"wt  x age"
18,12.8,0.223,-0.000343,-2.11e-05,"F","0-36 mos",95,"wt  x age"
49,2.72,0.0557,0.0137,-0.000277,"M","0-36 mos",5,"wt x length"
72,7.88,0.247,-0.00539,0.000141,"M","0-36 mos",5,"wt x length"
90,11.4,0.19,0.00222,0.000104,"M","0-36 mos",5,"wt x length"
49,2.77,0.0671,0.0118,-0.000243,"F","0-36 mos",5,"wt x length"
72,7.6,0.225,-0.00496,0.000158,"F","0-36 mos",5,"wt x length"
90,11,0.199,0.00355,7.54e-05,"F","0-36 mos",5,"wt x length"
49,2.72,0.0955,0.0114,-0.000236,"M","0-36 mos",10,"wt x length"
72,8.09,0.246,-0.00487,0.000136,"M","0-36 mos",10,"wt x length"
90,11.7,0.203,0.00247,2.61e-05,"M","0-36 mos",10,"wt x length"
49,2.82,0.0758,0.0115,-0.000234,"F","0-36 mos",10,"wt x length"
72,7.82,0.235,-0.00461,0.000139,"F","0-36 mos",10,"wt x length"
90,11.4,0.205,0.00292,7.69e-05,"F","0-36 mos",10,"wt x length"
49,2.86,0.129,0.0101,-0.000218,"M","0-36 mos",25,"wt x length"
72,8.53,0.25,-0.00488,0.000146,"M","0-36 mos",25,"wt x length"
90,12.3,0.216,0.00301,1.42e-05,"M","0-36 mos",25,"wt x length"
49,3.02,0.0905,0.0117,-0.000245,"F","0-36 mos",25,"wt x length"
72,8.32,0.241,-0.00518,0.000165,"F","0-36 mos",25,"wt x length"
90,11.9,0.215,0.00375,1.16e-06,"F","0-36 mos",25,"wt x length"
49,3.15,0.149,0.00948,-0.000206,"M","0-36 mos",50,"wt x length"
