cycle,converged,status,neg2ll,nspp,gamlam.0,ka.mean,ka.median,ka.sd,ke.mean,ke.median,ke.sd,v.mean,v.median,v.sd,tlag1.mean,tlag1.median,tlag1.sd
1,false,Continue,533.0700443044237,13,4.54545,0.5986148760868953,0.6419434547424316,0.046346094575342944,0.050498736308171206,0.04559915888309479,0.00040558084844060093,81.35212870744559,80.77770352363586,418.0826524550328,1.544006714454064,1.2649908065795898,0.9544864380505623
2,false,Continue,499.4557391483577,14,3.78788,0.6421806267329625,0.6649072170257568,0.044111805778593666,0.050548953027384616,0.04791100718975068,0.00029702829500124795,78.55355557373592,78.12741816043854,317.839452786624,1.3830525466373988,1.142204761505127,0.8161143039551272
3,false,Continue,490.01234286916315,14,2.70563,0.6689807660239084,0.7931742000579834,0.0501612943088322,0.049771498727798465,0.045997455120086676,0.00029488590237232204,76.79296323231289,75.32092845439911,305.8288390568764,1.4730790751320975,1.4269760608673097,0.8278677760564707
4,false,Continue,488.68645086632165,16,2.70563,0.6801730346679689,0.8072347450256347,0.0522365466106493,0.04994915399700403,0.045997455120086676,0.00032875139048095346,75.2198063582182,71.84057772159576,284.3487559786694,1.4523815870285033,1.142204761505127,0.9582333489596743
5,false,Continue,486.67762246000314,16,2.70563,0.6920521521568299,0.8072347450256347,0.05100681807381247,0.05040556972026825,0.04791100718975068,0.0003618934042406467,75.46666480600834,75.32092845439911,290.6055623814681,1.5485992133617401,1.142204761505127,1.2560211273937039
6,false,Continue,479.8148406062081,16,2.70563,0.67205215215683,0.7931742000579834,0.050959715107503877,0.05164306972026824,0.05281280188560486,0.0003747584816961674,74.34166480600834,75.32092845439911,370.73612271996524,1.54859921336174,1.142204761505127,1.2560211273937036
7,false,Continue,477.9563644124311,16,2.97619,0.65205215215683,0.7407751750946046,0.04946240299405987,0.05164306972026825,0.05281280188560486,0.0003747584816961674,74.34166480600834,75.32092845439911,370.7361227199653,1.5485992133617401,1.142204761505127,1.2560211273937039
8,false,Continue,477.9563644124311,16,2.97619,0.65205215215683,0.7407751750946046,0.04946240299405987,0.05164306972026824,0.05281280188560486,0.0003747584816961674,74.34166480600834,75.32092845439911,370.73612271996524,1.54859921336174,1.142204761505127,1.2560211273937036
9,false,Continue,474.8617426435831,17,2.70563,0.6547046964308795,0.7491668510437013,0.05030405764923368,0.05247568062613993,0.055801044511795045,0.0003631211722399565,72.41076871928047,68.51643133163452,383.2179005341517,1.6762620028327493,1.2649908065795898,1.5542512843443743
10,false,Continue,474.4013823493585,18,2.70563,0.6619102658165825,0.7585189151763917,0.0554872835766956,0.05211042306423188,0.05281280188560486,0.0003441625388422232,74.77748012542725,71.99678206443787,461.4994829307011,1.6242836210462783,1.142204761505127,1.511456277322992
