"","Ka","Ke","V","Tlag1","prob"
"1",0.854944013351441,0.0431027207057428,110.899201368999,2.54592004262924,0.0500380516029339
"2",0.592595207824707,0.0621170569659472,30.9849600498676,1.87417603406906,0.0499991319696549
"3",0.200198403118134,0.0845211533205652,35.2243201834202,1.95379203495026,0.150004396656955
"4",0.807635211677551,0.0570482571004868,119.256961642027,0.613376020431519,0.0511883555578877
"5",0.836307212421417,0.0697836171972609,69.3465606935978,1.10233602329254,0.0469788272239495
"6",0.687904009641647,0.0695555211848927,70.867200710249,1.43872003385544,0.053024100738589
"7",0.660204808362961,0.0604253448873949,66.0230405385017,0.801024012012482,0.0492666038340939
"8",0.111837440615997,0.079928820730768,99.8152331957846,0.040755202004242,0.0488148949218492
"9",0.880851213928223,0.0342703367204714,74.6457608159065,2.22425603745461,0.102220340693173
"10",0.487466248269424,0.0246408836774881,67.9134726298599,0.55889921809845,0.0461388663517506
"11",0.80085121273613,0.0342703367204714,74.6457608159065,1.02425601957321,0.0503187768376893
"12",0.667782408716202,0.043939072742281,116.195521388268,0.486912014732361,0.0607155223556966
"13",0.667782408716202,0.043939072742281,107.195521254158,0.0869120087718965,0.0429631836269969
"14",0.695261450877533,0.0231899396025236,75.3784328492432,1.53707523538284,0.0538609999759879
"15",0.829098252665863,0.0353170439725311,87.4110729667454,0.836659213711548,0.0569944478039563
"16",0.720851211544037,0.0342703367204714,83.645760950017,1.42425602553368,0.0404629704246927
"17",0.747782409908295,0.043939072742281,98.1955211200476,0.886912020692825,0.0470105294241438
