"","Ka","Ke","V","Tlag1"
"Ka",1,-0.7089432941444,0.49309002506258,0.0583380882078509
"Ke",-0.7089432941444,1,-0.459672653101067,0.0865957309059951
"V",0.49309002506258,-0.459672653101067,1,-0.515939934557806
"Tlag1",0.0583380882078509,0.0865957309059951,-0.515939934557806,1
