"","mean","sd","CV","var","median"
"Ka",0.628618365952632,0.244367394940635,38.8737281912391,0.0597154237100722,0.69186018
"Ke",0.0523406691520898,0.0201805127533573,38.5560847430463,0.000407253094988415,0.044226755
"V",76.8503272561158,26.8134650102303,34.8905020545588,718.961905854842,74.717083
"Tlag1",1.28288644414012,0.720004632147345,56.1238007803523,0.518406670313634,1.1196679
