ke0,kcp,kpc,v0,prob
0.013608773231506348,2.0465219497680662,1.5840951204299927,0.2380958437919617,0.20093742433886574
0.021608773231506347,1.2465219497680664,0.5840951204299927,0.23809584379196166,0.02726402547100654
0.004177290916442871,0.32737655639648433,1.3464856147766113,0.41906361579895024,0.1131099813898498
0.010323152542114258,1.2444984436035156,0.28549957275390625,0.17028244733810427,0.02843525728025859
0.003568787574768067,1.2634699821472168,1.244872808456421,0.21705702066421506,0.02874750537884704
0.011568787574768067,1.2634699821472168,0.2448728084564209,0.21705702066421506,0.024810779728784767
0.0035687875747680664,0.4634699821472168,1.244872808456421,0.5970570206642151,0.030070438837422244
0.019568787574768067,0.4634699821472168,0.2448728084564209,0.21705702066421506,0.01868243063768166
0.011568787574768067,2.063469982147217,1.244872808456421,0.21705702066421506,0.15114342683389964
0.010323152542114258,0.44449844360351554,0.28549957275390625,0.17028244733810427,0.017915819465502907
0.005608773231506348,1.2465219497680664,2.5840951204299927,0.6180958437919617,0.03583334535843863
0.004177290916442871,0.32737655639648433,0.34648561477661133,0.41906361579895024,0.05155086473958674
0.013608773231506346,0.44652194976806636,0.5840951204299927,0.23809584379196166,0.005878757669696315
0.005608773231506348,2.0465219497680662,1.5840951204299927,0.2380958437919617,0.01926145398757937
0.005608773231506348,2.0465219497680662,0.5840951204299927,0.23809584379196166,0.010059465459760145
0.005608773231506348,0.44652194976806636,4.584095120429993,0.23809584379196166,0.009531877136009106
0.011568787574768067,3.663469982147217,1.244872808456421,0.21705702066421506,0.03704282375269273
0.03422024726867676,2.2141836166381834,4.7228652238845825,0.451809287071228,0.005496976782575584
0.011568787574768067,0.4634699821472168,0.2448728084564209,0.21705702066421506,0.01834720555343591
0.012177290916442872,0.32737655639648433,0.34648561477661133,0.41906361579895024,0.061415404778972976
0.0035687875747680664,1.2634699821472168,2.244872808456421,0.21705702066421506,0.0006152711882878965
0.01832315254211426,1.2444984436035156,1.2854995727539063,0.17028244733810427,0.0075328158479465055
0.005608773231506348,1.2465219497680664,2.5840951204299927,0.2380958437919617,0.0033671522149662896
0.011568787574768067,2.863469982147217,1.244872808456421,0.21705702066421506,0.05932229606565883
0.004528489112854004,1.4538338661193848,4.9489264488220215,0.6943494486808777,0.024370401575036
0.004528489112854004,1.4538338661193848,3.9489264488220215,0.31434944868087766,0.009256798527238033
