"","mean","sd","CV","var","median"
"Ka",0.70970728299635,0.176340079913615,24.8468747804187,0.0310958237839402,0.78459362
"Ke",0.0473255596728067,0.0128841245723034,27.2244526242902,0.000166000665994633,0.046228363
"V0",81.5891260250411,26.8047140063892,32.8532922367159,718.492692964317,69.153366
"Tlag1",1.33781552698661,0.800981567949328,59.872348002532,0.641571472194564,1.2401813
