"","Ka","Ke","V0","Tlag1"
"Ka",1,-0.291445232433878,0.561773706490597,0.0440295393575495
"Ke",-0.291445232433878,1,-0.289664528337815,0.0725604752415925
"V0",0.561773706490597,-0.289664528337815,1,-0.444199168318312
"Tlag1",0.0440295393575495,0.0725604752415925,-0.444199168318312,1
