"id","time","out","outeq","state","state_index","spp_index"
"1",24.7,38.4683220155012,1,0,0,0
"1",24.7,38.4683220155012,1,346.21489813951,1,0
"1",24.7,38.4683220155012,1,296.790690713784,2,0
"1",24.7,38.4683220155012,1,0,0,0
"1",24.7,38.4683220155012,1,346.21489813951,1,0
"1",24.7,38.4683220155012,1,296.790690713784,2,0
"1",26.7,101.512829629594,1,0,0,0
"1",26.7,101.512829629594,1,913.615466666347,1,0
"1",26.7,101.512829629594,1,379.531123088507,2,0
"1",28.7,146.377055968968,1,0,0,0
"1",28.7,146.377055968968,1,1317.39350372072,1,0
"1",28.7,146.377055968968,1,583.609155736788,2,0
"1",31.7,114.960831958349,1,0,0,0
"1",31.7,114.960831958349,1,1034.64748762514,1,0
"1",31.7,114.960831958349,1,731.828255221734,2,0
"1",33.3,106.720097204739,1,0,0,0
"1",33.3,106.720097204739,1,960.480874842652,1,0
"1",33.3,106.720097204739,1,744.077986991793,2,0
"11",26.6,26.4052155465263,1,0,0,0
"11",26.6,26.4052155465263,1,237.646939918737,1,0
"11",26.6,26.4052155465263,1,203.729191184882,2,0
"11",27.25,78.2787428746096,1,0,0,0
"11",27.25,78.2787428746096,1,704.508685871486,1,0
"11",27.25,78.2787428746096,1,225.286573629276,2,0
"11",32,52.5350658565311,1,0,0,0
"11",32,52.5350658565311,1,472.81559270878,1,0
"11",32,52.5350658565311,1,353.648967164651,2,0
"12",26.7,26.3499684593776,1,0,0,0
"12",26.7,26.3499684593776,1,237.149716134398,1,0
"12",26.7,26.3499684593776,1,203.303199588568,2,0
"12",28.75,73.107417365274,1,0,0,0
"12",28.75,73.107417365274,1,657.966756287466,1,0
"12",28.75,73.107417365274,1,250.493442820576,2,0
"12",34.25,49.5252704193154,1,0,0,0
"12",34.25,49.5252704193154,1,445.727433773839,1,0
"12",34.25,49.5252704193154,1,350.863995296728,2,0
"13",24.3,38.7920932096527,1,0,0,0
"13",24.3,38.7920932096527,1,349.128838886875,1,0
"13",24.3,38.7920932096527,1,299.284946941775,2,0
"13",24.75,38.4280435878291,1,0,0,0
"13",24.75,38.4280435878291,1,345.852392290462,1,0
"13",24.75,38.4280435878291,1,296.480353426105,2,0
"13",25,38.2272907290519,1,0,0,0
"13",25,38.2272907290519,1,344.045616561467,1,0
"13",25,38.2272907290519,1,294.93346603592,2,0
"13",27,135.912310488484,1,0,0,0
"13",27,135.912310488484,1,1223.21079439636,1,0
"13",27,135.912310488484,1,407.791292202562,2,0
"13",27.75,195.697006541794,1,0,0,0
"13",27.75,195.697006541794,1,1761.27305887614,1,0
"13",27.75,195.697006541794,1,526.104544469464,2,0
"13",28.5,211.180058924127,1,0,0,0
"13",28.5,211.180058924127,1,1900.62053031714,1,0
"13",28.5,211.180058924127,1,679.993854757363,2,0
"13",32.2,152.784974238499,1,0,0,0
"13",32.2,152.784974238499,1,1375.06476814649,1,0
"13",32.2,152.784974238499,1,977.563110569773,2,0
"13",32.75,148.570703521826,1,0,0,0
"13",32.75,148.570703521826,1,1337.13633169643,1,0
"13",32.75,148.570703521826,1,986.496004608931,2,0
"13",34.5,138.355310552678,1,0,0,0
"13",34.5,138.355310552678,1,1245.1977949741,1,0
"13",34.5,138.355310552678,1,990.766955515464,2,0
"14",21.9,29.1385356265914,1,0,0,0
"14",21.9,29.1385356265914,1,262.246820639323,1,0
"14",21.9,29.1385356265914,1,224.776537798573,2,0
"14",22.9,77.3028693929257,1,0,0,0
"14",22.9,77.3028693929257,1,695.725824536331,1,0
"14",22.9,77.3028693929257,1,269.409530137889,2,0
"14",24.2,114.992539672087,1,0,0,0
"14",24.2,114.992539672087,1,1034.93285704878,1,0
"14",24.2,114.992539672087,1,384.037292151115,2,0
"14",24.25,114.248092994402,1,0,0,0
"14",24.25,114.248092994402,1,1028.23283694961,1,0
"14",24.25,114.248092994402,1,388.731476939169,2,0
"14",28.1,82.9509288565787,1,0,0,0
"14",28.1,82.9509288565787,1,746.558359709209,1,0
"14",28.1,82.9509288565787,1,541.921421482389,2,0
"14",29.75,77.259424323396,1,0,0,0
"14",29.75,77.259424323396,1,695.334818910564,1,0
"14",29.75,77.259424323396,1,546.990424094061,2,0
